Genus,Label,Type,Value,Unit,file,site,surber,date,ln_a,b,base,logdw,dw
Acari,Acari,Distance,0.88,mm,Garvey_s2a_05-02-16.csv,Garvey,s2,05-02-16,-5,2.5,2.718281828,-5.319583429,4.89E-06
Acari,Acari,Distance,0.81,mm,Garvey_s1a_05-02-16.csv,Garvey,s1,05-02-16,-5,2.5,2.718281828,-5.526802578,3.98E-06
Acari,Acari,Distance,1.33,mm,Hot---_s3a_16-01-16.csv,Hot,s3,16-01-16,-5,2.5,2.718281828,-4.287052644,1.37E-05
Acari,Acari,Distance,0.91,mm,Hot---_s3a_16-01-16.csv,Hot,s3,16-01-16,-5,2.5,2.718281828,-5.235776699,5.32E-06
Acari,Acari,Distance,0.87,mm,Hot---_s3a_16-01-16.csv,Hot,s3,16-01-16,-5,2.5,2.718281828,-5.348155168,4.76E-06
Acari,Acari,Distance,0.79,mm,Hot---_s3a_16-01-16.csv,Hot,s3,16-01-16,-5,2.5,2.718281828,-5.589305834,3.74E-06
Acari,Acari,Distance,0.46,mm,Italia_s3z_04-02-16.csv,Italia,s3,04-02-16,-5,2.5,2.718281828,-6.941321974,9.67E-07
Acari,Acari,Distance,0.43,mm,Italia_s3z_04-02-16.csv,Italia,s3,04-02-16,-5,2.5,2.718281828,-7.109925176,8.17E-07
Acari,Acari,Distance,0.47,mm,Italia_s3z_04-02-16.csv,Italia,s3,04-02-16,-5,2.5,2.718281828,-6.887556461,1.02E-06
Acari,Acari,Distance,0.53,mm,Italia_s3z_04-02-16.csv,Italia,s3,04-02-16,-5,2.5,2.718281828,-6.587195681,1.38E-06
Acari,Acari,Distance,0.49,mm,Italia_s3z_04-02-16.csv,Italia,s3,04-02-16,-5,2.5,2.718281828,-6.78337472,1.13E-06
Acari,Acari,Distance,0.42,mm,Italia_s2o_04-02-16.csv,Italia,s2,04-02-16,-5,2.5,2.718281828,-7.16875142,7.70E-07
Acari,Acari,Distance,0.55,mm,Italia_s3z_04-02-16.csv,Italia,s3,04-02-16,-5,2.5,2.718281828,-6.494592502,1.51E-06
Acari,Acari,Distance,0.6,mm,Italia_s3z_04-02-16.csv,Italia,s3,04-02-16,-5,2.5,2.718281828,-6.27706406,1.88E-06
Acari,Acari,Distance,0.56,mm,Italia_s3z_04-02-16.csv,Italia,s3,04-02-16,-5,2.5,2.718281828,-6.449546238,1.58E-06
Acari,Acari,Distance,0.56,mm,Italia_s3z_04-02-16.csv,Italia,s3,04-02-16,-5,2.5,2.718281828,-6.449546238,1.58E-06
Acari,Acari,Distance,0.47,mm,Italia_s3z_04-02-16.csv,Italia,s3,04-02-16,-5,2.5,2.718281828,-6.887556461,1.02E-06
Acari,Acari,Distance,0.51,mm,Italia_s2o_04-02-16.csv,Italia,s2,04-02-16,-5,2.5,2.718281828,-6.683361383,1.25E-06
Acari,Acari,Distance,0.56,mm,Italia_s3z_04-02-16.csv,Italia,s3,04-02-16,-5,2.5,2.718281828,-6.449546238,1.58E-06
Acari,Acari,Distance,1.13,mm,Italia_s2n_04-02-16.csv,Italia,s2,04-02-16,-5,2.5,2.718281828,-4.694455918,9.15E-06
Acari,Acari,Distance,0.7,mm,Kiwi--_s1m_02-02-16.csv,Kiwi,s1,02-02-16,-5,2.5,2.718281828,-5.89168736,2.76E-06
Acari,Acari,Distance,0.59,mm,Kiwi--_s1m_02-02-16.csv,Kiwi,s1,02-02-16,-5,2.5,2.718281828,-6.319081855,1.80E-06
Acari,Acari,Distance,0.61,mm,Kiwi--_s2h_02-02-16.csv,Kiwi,s2,02-02-16,-5,2.5,2.718281828,-6.235740805,1.96E-06
Acari,Acari,Distance,0.52,mm,Kiwi--_s2h_02-02-16.csv,Kiwi,s2,02-02-16,-5,2.5,2.718281828,-6.634816169,1.31E-06
Acari,Acari,Distance,0.52,mm,Lankey_s2x_05-02-16.csv,Lankey,s2,05-02-16,-5,2.5,2.718281828,-6.634816169,1.31E-06
Acari,Acari,Distance,0.57,mm,Lankey_s2x_05-02-16.csv,Lankey,s2,05-02-16,-5,2.5,2.718281828,-6.405297296,1.65E-06
Acari,Acari,Distance,0.61,mm,Lankey_s2x_05-02-16.csv,Lankey,s2,05-02-16,-5,2.5,2.718281828,-6.235740805,1.96E-06
Acari,Acari,Distance,0.58,mm,Lankey_s2w_05-02-16.csv,Lankey,s2,05-02-16,-5,2.5,2.718281828,-6.361817939,1.73E-06
Acari,Acari,Distance,0.53,mm,Lankey_s2y_05-02-16.csv,Lankey,s2,05-02-16,-5,2.5,2.718281828,-6.587195681,1.38E-06
Acari,Acari,Distance,0.57,mm,Lankey_s2x_05-02-16.csv,Lankey,s2,05-02-16,-5,2.5,2.718281828,-6.405297296,1.65E-06
Acari,Acari,Distance,0.47,mm,Lankey_s2x_05-02-16.csv,Lankey,s2,05-02-16,-5,2.5,2.718281828,-6.887556461,1.02E-06
Acari,Acari,Distance,0.83,mm,Lankey_s2w_05-02-16.csv,Lankey,s2,05-02-16,-5,2.5,2.718281828,-5.465823946,4.23E-06
Acari,Acari,Distance,0.69,mm,Lankey_s1h_05-02-16.csv,Lankey,s1,05-02-16,-5,2.5,2.718281828,-5.927659204,2.66E-06
Acari,Acari,Distance,0.6,mm,Lankey_s1h_05-02-16.csv,Lankey,s1,05-02-16,-5,2.5,2.718281828,-6.27706406,1.88E-06
Acari,Acari,Distance,0.68,mm,Lankey_s3q_05-02-16.csv,Lankey,s3,05-02-16,-5,2.5,2.718281828,-5.964156202,2.57E-06
Acari,Acari,Distance,0.53,mm,Lankey_s1h_05-02-16.csv,Lankey,s1,05-02-16,-5,2.5,2.718281828,-6.587195681,1.38E-06
Acari,Acari,Distance,0.51,mm,Lankey_s1h_05-02-16.csv,Lankey,s1,05-02-16,-5,2.5,2.718281828,-6.683361383,1.25E-06
Acari,Acari,Distance,0.38,mm,Lankey_s1h_05-02-16.csv,Lankey,s1,05-02-16,-5,2.5,2.718281828,-7.418960066,6.00E-07
Acari,Acari,Distance,0.54,mm,Lankey_s3q_05-02-16.csv,Lankey,s3,05-02-16,-5,2.5,2.718281828,-6.540465349,1.44E-06
Acari,Acari,Distance,0.62,mm,Murray_s3h_05-02-16.csv,Murray,s3,05-02-16,-5,2.5,2.718281828,-6.195089503,2.04E-06
Acari,Acari,Distance,0.53,mm,Murray_s3h_05-02-16.csv,Murray,s3,05-02-16,-5,2.5,2.718281828,-6.587195681,1.38E-06
Acari,Acari,Distance,0.57,mm,Murray_s1d_05-02-16.csv,Murray,s1,05-02-16,-5,2.5,2.718281828,-6.405297296,1.65E-06
Acari,Acari,Distance,0.6,mm,Murray_s1d_05-02-16.csv,Murray,s1,05-02-16,-5,2.5,2.718281828,-6.27706406,1.88E-06
Acari,Acari,Distance,0.39,mm,Murray_s1d_05-02-16.csv,Murray,s1,05-02-16,-5,2.5,2.718281828,-7.35402135,6.40E-07
Acari,Acari,Distance,0.8,mm,Onehor_s3t_25-01-16.csv,Onehor,s3,25-01-16,-5,2.5,2.718281828,-5.557858878,3.86E-06
Acari,Acari,Distance,0.84,mm,Onehor_s2x_25-01-16.csv,Onehor,s2,25-01-16,-5,2.5,2.718281828,-5.435883468,4.36E-06
Acari,Acari,Distance,0.75,mm,Onehor_s2x_25-01-16.csv,Onehor,s2,25-01-16,-5,2.5,2.718281828,-5.719205181,3.28E-06
Acari,Acari,Distance,0.54,mm,Onehor_s2x_25-01-16.csv,Onehor,s2,25-01-16,-5,2.5,2.718281828,-6.540465349,1.44E-06
Acari,Acari,Distance,0.86,mm,Onehor_s2x_25-01-16.csv,Onehor,s2,25-01-16,-5,2.5,2.718281828,-5.377057224,4.62E-06
Acari,Acari,Distance,0.83,mm,Onehor_s3m_25-01-16.csv,Onehor,s3,25-01-16,-5,2.5,2.718281828,-5.465823946,4.23E-06
Acari,Acari,Distance,0.78,mm,Onehor_s2x_25-01-16.csv,Onehor,s2,25-01-16,-5,2.5,2.718281828,-5.621153398,3.62E-06
Acari,Acari,Distance,0.75,mm,Onehor_s2x_25-01-16.csv,Onehor,s2,25-01-16,-5,2.5,2.718281828,-5.719205181,3.28E-06
Acari,Acari,Distance,0.76,mm,Onehor_s3t_25-01-16.csv,Onehor,s3,25-01-16,-5,2.5,2.718281828,-5.686092114,3.39E-06
Acari,Acari,Distance,0.71,mm,Onehor_s2x_25-01-16.csv,Onehor,s2,25-01-16,-5,2.5,2.718281828,-5.856225773,2.86E-06
Acari,Acari,Distance,0.64,mm,Onehor_s2x_25-01-16.csv,Onehor,s2,25-01-16,-5,2.5,2.718281828,-6.115717757,2.21E-06
Acari,Acari,Distance,0.84,mm,Onehor_s2x_25-01-16.csv,Onehor,s2,25-01-16,-5,2.5,2.718281828,-5.435883468,4.36E-06
Acari,Acari,Distance,0.65,mm,Onehor_s2x_25-01-16.csv,Onehor,s2,25-01-16,-5,2.5,2.718281828,-6.07695729,2.30E-06
Acari,Acari,Distance,0.78,mm,Onehor_s3m_25-01-16.csv,Onehor,s3,25-01-16,-5,2.5,2.718281828,-5.621153398,3.62E-06
Acari,Acari,Distance,0.86,mm,Onehor_s2x_25-01-16.csv,Onehor,s2,25-01-16,-5,2.5,2.718281828,-5.377057224,4.62E-06
Acari,Acari,Distance,0.69,mm,Onehor_s3m_25-01-16.csv,Onehor,s3,25-01-16,-5,2.5,2.718281828,-5.927659204,2.66E-06
Acari,Acari,Distance,1.33,mm,Onehor_s3m_25-01-16.csv,Onehor,s3,25-01-16,-5,2.5,2.718281828,-4.287052644,1.37E-05
Acari,Acari,Distance,0.72,mm,Onehor_s1u_25-01-16.csv,Onehor,s1,25-01-16,-5,2.5,2.718281828,-5.821260168,2.96E-06
Acari,Acari,Distance,0.69,mm,Onehor_s3m_25-01-16.csv,Onehor,s3,25-01-16,-5,2.5,2.718281828,-5.927659204,2.66E-06
Acari,Acari,Distance,1.09,mm,Onehor_s1u_25-01-16.csv,Onehor,s1,25-01-16,-5,2.5,2.718281828,-4.784555759,8.36E-06
Acari,Acari,Distance,0.67,mm,Onehor_s3m_25-01-16.csv,Onehor,s3,25-01-16,-5,2.5,2.718281828,-6.001193917,2.48E-06
Acari,Acari,Distance,0.7,mm,Onehor_s3m_25-01-16.csv,Onehor,s3,25-01-16,-5,2.5,2.718281828,-5.89168736,2.76E-06
